pixel_id module_id pixel_number_in_module cumulative_anode_current average_anode_current
811 48 0 1.613181e+01 1.066334e-05
715 48 1 1.735627e+01 1.055727e-05
626 48 2 1.702811e+01 1.016304e-05
716 48 3 1.889305e+01 1.262110e-05
812 48 4 1.704970e+01 1.151733e-05
627 48 5 1.917594e+01 1.294156e-05
717 48 6 1.737860e+01 1.190557e-05
713 49 0 1.257692e+01 7.319410e-06
623 49 1 1.145902e+01 6.790256e-06
540 49 2 9.737821e+00 6.176669e-06
624 49 3 1.009741e+01 6.039145e-06
714 49 4 1.862424e+01 1.114738e-05
541 49 5 1.062881e+01 6.621138e-06
625 49 6 1.885240e+01 1.125816e-05
621 50 0 1.067625e+01 5.942460e-06
537 50 1 1.087416e+01 6.497522e-06
460 50 2 1.678608e+01 1.023230e-05
538 50 3 1.197876e+01 6.879559e-06
622 50 4 1.029175e+01 5.620930e-06
461 50 5 1.030609e+01 6.284430e-06
539 50 6 1.049886e+01 6.359174e-06
535 51 0 1.037237e+01 8.883613e-06
457 51 1 1.103120e+01 7.729204e-06
386 51 2 1.025234e+01 6.378792e-06
458 51 3 9.460549e+00 6.000974e-06
536 51 4 1.641712e+01 1.127875e-05
387 51 5 1.851565e+01 1.121294e-05
459 51 6 1.749274e+01 1.082345e-05
615 52 0 1.817030e+01 1.149295e-05
614 52 1 1.010636e+01 5.788797e-06
531 52 2 1.010209e+01 5.803218e-06
532 52 3 1.810940e+01 1.100732e-05
533 52 4 1.057916e+01 7.299692e-06
455 52 5 9.866971e+00 5.831521e-06
456 52 6 1.817885e+01 1.197957e-05
796 53 0 1.827122e+01 1.127808e-05
795 53 1 1.922739e+01 1.142366e-05
700 53 2 2.099311e+01 1.204722e-05
701 53 3 1.936704e+01 1.091479e-05
702 53 4 1.114104e+01 6.335971e-06
612 53 5 1.237823e+01 6.572018e-06
613 53 6 2.045885e+01 1.214980e-05
1001 54 0 1.972496e+01 1.135602e-05
1000 54 1 9.698134e+00 6.143879e-06
893 54 2 8.999615e+00 5.324154e-06
894 54 3 1.760902e+01 1.086765e-05
895 54 4 2.002080e+01 1.272769e-05
793 54 5 9.856889e+00 6.255521e-06
794 54 6 5.259861e+00 2.978443e-06
1230 55 0 1.039786e+01 6.688997e-06
1229 55 1 1.973247e+01 1.272307e-05
1110 55 2 1.081339e+01 6.798818e-06
1111 55 3 1.095400e+01 7.165690e-06
1112 55 4 1.004158e+01 6.192389e-06
998 55 5 1.839661e+01 1.092153e-05
999 55 6 1.056220e+01 6.260450e-06
